,Symbol,Name,MarketCap,IPOyear,Sector,industry
25,ABMD,"ABIOMED, Inc.",$11.97B,,Health Care,Medical/Dental Instruments
26,AXAS,Abraxas Petroleum Corporation,$33.29M,,Energy,Oil & Gas Production
27,ACIU,AC Immune SA,$523.86M,2016.0,Health Care,Major Pharmaceuticals
28,ACIA,"Acacia Communications, Inc.",$2.83B,2016.0,Technology,Semiconductors
29,ACTG,Acacia Research Corporation,$187.52M,,Miscellaneous,Multi-Sector Companies
30,ACHC,"Acadia Healthcare Company, Inc.",$2.14B,,Health Care,Medical Specialities
31,ACAD,ACADIA Pharmaceuticals Inc.,$8.74B,1985.0,Health Care,Major Pharmaceuticals
32,ACAM,Acamar Partners Acquisition Corp.,$399.16M,2019.0,Finance,Business Services
33,ACAMU,Acamar Partners Acquisition Corp.,,2019.0,Finance,Business Services
34,ACAMW,Acamar Partners Acquisition Corp.,,2019.0,Finance,Business Services
35,ACST,"Acasti Pharma, Inc.",$67.33M,,Health Care,Major Pharmaceuticals
36,AXDX,"Accelerate Diagnostics, Inc.",$916.94M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
37,ACCP,"Accelerated Pharma, Inc.",,,,
38,XLRN,Acceleron Pharma Inc.,$5.42B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
39,ACCD,"Accolade, Inc.",$1.61B,2020.0,,
40,ARAY,Accuray Incorporated,$179.12M,2007.0,Health Care,Medical/Dental Instruments
41,ACRX,"AcelRx Pharmaceuticals, Inc.",$84.8M,2011.0,Health Care,Major Pharmaceuticals
42,ACER,Acer Therapeutics Inc.,$37.2M,,Health Care,Major Pharmaceuticals
43,ACHV,"Achieve Life Sciences, Inc. ",$15.49M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
44,ACIW,"ACI Worldwide, Inc.",$2.91B,,Technology,Computer Software: Prepackaged Software
45,ACRS,"Aclaris Therapeutics, Inc.",$75.36M,2015.0,Health Care,Major Pharmaceuticals
46,ACMR,"ACM Research, Inc.",$1.57B,2017.0,Technology,Industrial Machinery/Components
47,ACNB,ACNB Corporation,$193.86M,,Finance,Major Banks
48,ACOR,"Acorda Therapeutics, Inc.",$34.35M,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
49,ATVI,"Activision Blizzard, Inc",$62.13B,,Technology,Computer Software: Prepackaged Software
50,ADMS,"Adamas Pharmaceuticals, Inc.",$71.24M,2014.0,Health Care,Major Pharmaceuticals
51,ADMP,Adamis Pharmaceuticals Corporation,$37.99M,,Health Care,Major Pharmaceuticals
52,AHCO,AdaptHealth Corp. ,$1.72B,2018.0,Health Care,Medical/Nursing Services
53,ADAP,Adaptimmune Therapeutics plc,$1.43B,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
54,ADPT,Adaptive Biotechnologies Corporation,$6.16B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
55,ADXN,Addex Therapeutics Ltd,,,Health Care,Major Pharmaceuticals
56,ADUS,Addus HomeCare Corporation,$1.39B,2009.0,Health Care,Medical/Nursing Services
57,AEY,"ADDvantage Technologies Group, Inc.",$29.42M,,Consumer Services,Office Equipment/Supplies/Services
58,ADIL,"Adial Pharmaceuticals, Inc",$19.91M,2018.0,Health Care,Major Pharmaceuticals
59,ADILW,"Adial Pharmaceuticals, Inc",,2018.0,Health Care,Major Pharmaceuticals
60,ADTX,"ADiTx Therapeutics, Inc.",$18.72M,2020.0,Health Care,Major Pharmaceuticals
61,ADMA,ADMA Biologics Inc,$247.81M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
62,ADBE,Adobe Inc.,$221.05B,1986.0,Technology,Computer Software: Prepackaged Software
63,ADTN,"ADTRAN, Inc.",$531.37M,1994.0,Public Utilities,Telecommunications Equipment
64,ADRO,"Aduro Biotech, Inc.",$215.15M,2015.0,Health Care,Major Pharmaceuticals
65,ADES,"Advanced Emissions Solutions, Inc.",$88.58M,,Basic Industries,Major Chemicals
66,AEIS,"Advanced Energy Industries, Inc.",$2.68B,1995.0,Capital Goods,Industrial Machinery/Components
67,AMD,"Advanced Micro Devices, Inc.",$67.06B,,Technology,Semiconductors
68,ADXS,"Advaxis, Inc.",$34.44M,,Health Care,Major Pharmaceuticals
69,ADVM,"Adverum Biotechnologies, Inc.",$1.7B,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
70,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,,,,
71,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,,,,
72,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,,,,
73,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,,,,
74,DWSH,AdvisorShares Dorsey Wright Short ETF,,,,
75,ACT,AdvisorShares Vice ETF,,,,
76,AEGN,Aegion Corp,$445.83M,,Basic Industries,Water Supply
77,AGLE,"Aeglea BioTherapeutics, Inc.",$400.51M,2016.0,Health Care,Major Pharmaceuticals
78,AEHR,Aehr Test Systems,$44.19M,1997.0,Capital Goods,Electrical Products
79,AMTX,"Aemetis, Inc",$17.17M,,Basic Industries,Major Chemicals
80,AERI,"Aerie Pharmaceuticals, Inc.",$602.69M,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
81,AVAV,"AeroVironment, Inc.",$1.83B,2007.0,Capital Goods,Aerospace
82,ARPO,"Aerpio Pharmaceuticals, Inc.",$53.58M,,Health Care,Major Pharmaceuticals
83,AIH,Aesthetic Medical International Holdings Group Ltd.,$120.9M,2019.0,Health Care,Medical Specialities
84,AEZS,AEterna Zentaris Inc.,$10.24M,,Health Care,Major Pharmaceuticals
85,AEMD,"Aethlon Medical, Inc.",$23.26M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
86,AFMD,Affimed N.V.,$350.75M,2014.0,Health Care,Major Pharmaceuticals
87,AFYA,Afya Limited,$2.26B,2019.0,Consumer Services,Other Consumer Services
88,AGBA,AGBA Acquisition Limited,$61.78M,2019.0,Finance,Business Services
89,AGBAR,AGBA Acquisition Limited,,2019.0,Finance,Business Services
90,AGBAU,AGBA Acquisition Limited,,2019.0,Finance,Business Services
91,AGBAW,AGBA Acquisition Limited,,2019.0,Finance,Business Services
92,AGEN,Agenus Inc.,$665.53M,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
93,AGRX,"Agile Therapeutics, Inc.",$224.14M,2014.0,Health Care,Major Pharmaceuticals
94,AGYS,"Agilysys, Inc.",$392.2M,,Technology,EDP Services
95,AGIO,"Agios Pharmaceuticals, Inc.",$3.68B,2013.0,Health Care,Major Pharmaceuticals
96,AGMH,AGM Group Holdings Inc.,$495.48M,2018.0,Technology,EDP Services
97,AGNC,AGNC Investment Corp.,$7.09B,2008.0,Consumer Services,Real Estate Investment Trusts
98,AGNCM,AGNC Investment Corp.,,,Consumer Services,Real Estate Investment Trusts
99,AGNCN,AGNC Investment Corp.,,,Consumer Services,Real Estate Investment Trusts
100,AGNCO,AGNC Investment Corp.,,,Consumer Services,Real Estate Investment Trusts
101,AGNCP,AGNC Investment Corp.,,,Consumer Services,Real Estate Investment Trusts
102,API,"Agora, Inc.",$5.04B,2020.0,Technology,Computer Software: Prepackaged Software
103,AGFS,"AgroFresh Solutions, Inc.",$115.56M,2014.0,Finance,Business Services
104,AGFSW,"AgroFresh Solutions, Inc.",,2014.0,Finance,Business Services
105,AIKI,AIkido Pharma Inc.,$32.48M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
106,ALRN,"Aileron Therapeutics, Inc.",$42.76M,2017.0,Health Care,Major Pharmaceuticals
107,AIMT,"Aimmune Therapeutics, Inc.",$1.01B,2015.0,Health Care,Major Pharmaceuticals
108,AIRT,"Air T, Inc.",$33.49M,,Transportation,Air Freight/Delivery Services
109,AIRTP,"Air T, Inc.",,,Transportation,Air Freight/Delivery Services
110,AIRTW,"Air T, Inc.",,,Transportation,Air Freight/Delivery Services
111,ATSG,"Air Transport Services Group, Inc",$1.38B,,Transportation,Air Freight/Delivery Services
112,AIRG,"Airgain, Inc.",$105.01M,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment
113,ANTE,AirNet Technology Inc.,$9.67M,,Technology,Advertising
114,AKAM,"Akamai Technologies, Inc.",$18.53B,1999.0,Miscellaneous,Business Services
115,AKTX,Akari Therapeutics Plc,$66.58M,,Health Care,Major Pharmaceuticals
116,AKCA,"Akcea Therapeutics, Inc.",$1.35B,2017.0,Health Care,Major Pharmaceuticals
117,AKBA,"Akebia Therapeutics, Inc.",$1.79B,2014.0,Health Care,Major Pharmaceuticals
118,KERN,Akerna Corp.,$96.39M,2018.0,Technology,EDP Services
119,KERNW,Akerna Corp.,,2018.0,Technology,EDP Services
120,AKRO,"Akero Therapeutics, Inc.",$1.14B,2019.0,Health Care,Major Pharmaceuticals
121,AKER,Akers Biosciences Inc.,$21.37M,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
122,AKUS,"Akouos, Inc.",$722.72M,2020.0,Health Care,Major Pharmaceuticals
123,AKTS,"Akoustis Technologies, Inc.",$302.69M,,Public Utilities,Telecommunications Equipment
124,ALRM,"Alarm.com Holdings, Inc.",$3.43B,2015.0,Technology,Computer Software: Prepackaged Software
125,ALSK,"Alaska Communications Systems Group, Inc.",$140.86M,1999.0,Public Utilities,Telecommunications Equipment
126,ALAC,Alberton Acquisition Corporation,$157.51M,2018.0,Finance,Business Services
127,ALACR,Alberton Acquisition Corporation,,2018.0,Finance,Business Services
128,ALACU,Alberton Acquisition Corporation,,2018.0,Finance,Business Services
129,ALACW,Alberton Acquisition Corporation,,2018.0,Finance,Business Services
130,ALBO,"Albireo Pharma, Inc.",$379.43M,,Health Care,Major Pharmaceuticals
131,ALDX,"Aldeyra Therapeutics, Inc.",$154.91M,2014.0,Health Care,Major Pharmaceuticals
132,ALEC,"Alector, Inc.",$1.9B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
133,ALRS,Alerus Financial Corporation,$322.27M,2019.0,Finance,Major Banks
134,ALXN,"Alexion Pharmaceuticals, Inc.",$23.95B,1996.0,Health Care,Major Pharmaceuticals
135,ALCO,"Alico, Inc.",$230.27M,,Consumer Non-Durables,Farming/Seeds/Milling
136,ALIT,Alight Inc.,,,,
137,ALGN,"Align Technology, Inc.",$21.59B,2001.0,Health Care,Industrial Specialties
138,ALIM,"Alimera Sciences, Inc.",$30.61M,2010.0,Health Care,Major Pharmaceuticals
139,ALYA,Alithya Group inc.,$91.19M,,Technology,"Computer Software: Programming, Data Processing"
140,ALJJ,"ALJ Regional Holdings, Inc.",$24.67M,,Miscellaneous,Business Services
141,ALKS,Alkermes plc,$3.18B,1991.0,Health Care,Major Pharmaceuticals
142,ALLK,Allakos Inc.,$3.27B,2018.0,Health Care,Major Pharmaceuticals
143,ABTX,"Allegiance Bancshares, Inc.",$443.56M,2015.0,Finance,Major Banks
144,ALGT,Allegiant Travel Company,$1.65B,2006.0,Transportation,Air Freight/Delivery Services
145,ALNA,"Allena Pharmaceuticals, Inc.",$46.69M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
146,ARLP,"Alliance Resource Partners, L.P.",$410.84M,1999.0,Energy,Coal Mining
147,LNT,Alliant Energy Corporation,$12.04B,,Public Utilities,Power Generation
148,AESE,"Allied Esports Entertainment, Inc.",$67.23M,2017.0,Consumer Services,Services-Misc. Amusement & Recreation
149,AHPI,"Allied Healthcare Products, Inc.",$45.27M,1992.0,Health Care,Industrial Specialties
150,AMOT,"Allied Motion Technologies, Inc.",$314.43M,,Capital Goods,Electrical Products
151,ALLO,"Allogene Therapeutics, Inc.",$6.11B,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
152,ALLT,Allot Ltd.,$365.4M,2006.0,Technology,Computer Communications Equipment
153,MDRX,"Allscripts Healthcare Solutions, Inc.",$1.05B,,Technology,EDP Services
154,ALNY,"Alnylam Pharmaceuticals, Inc.",$18.26B,2004.0,Health Care,Major Pharmaceuticals
155,AOSL,Alpha and Omega Semiconductor Limited,$265.58M,2010.0,Technology,Semiconductors
156,GOOG,Alphabet Inc.,$1031.43B,2004.0,Technology,"Computer Software: Programming, Data Processing"
157,GOOGL,Alphabet Inc.,$1036.67B,,Technology,"Computer Software: Programming, Data Processing"
158,SMCP,AlphaMark Actively Managed Small Cap ETF,,,,
159,ATEC,"Alphatec Holdings, Inc.",$283.74M,2006.0,Health Care,Medical/Dental Instruments
160,ALPN,"Alpine Immune Sciences, Inc.",$175.84M,2015.0,Health Care,Major Pharmaceuticals
161,ALTA,Altabancorp,$369.56M,2015.0,Finance,Major Banks
162,ALTR,Altair Engineering Inc.,$2.82B,2017.0,Technology,Computer Software: Prepackaged Software
163,ATHE,Alterity Therapeutics Limited,$25.86M,,Health Care,Major Pharmaceuticals
164,ALT,"Altimmune, Inc.",$436.99M,,Health Care,Major Pharmaceuticals
165,ASPS,Altisource Portfolio Solutions S.A.,$192.76M,,Consumer Services,Other Consumer Services
166,AIMC,Altra Industrial Motion Corp.,$1.93B,2006.0,Capital Goods,Industrial Machinery/Components
167,ALTM,Altus Midstream Company,$192.85M,2017.0,Public Utilities,Natural Gas Distribution
168,AMAG,"AMAG Pharmaceuticals, Inc.",$241.79M,,Health Care,Major Pharmaceuticals
169,AMAL,Amalgamated Bank,$334.8M,2018.0,Consumer Non-Durables,Textiles
170,AMRN,Amarin Corporation plc,$2.56B,,Health Care,Major Pharmaceuticals
171,AMRK,"A-Mark Precious Metals, Inc.",$134.79M,,Basic Industries,Other Specialty Stores
172,AMZN,"Amazon.com, Inc.",$1587.42B,1997.0,Consumer Services,Catalog/Specialty Distribution
173,AMBC,"Ambac Financial Group, Inc.",$577.73M,,Finance,Property-Casualty Insurers
174,AMBA,"Ambarella, Inc.",$1.65B,2012.0,Technology,Semiconductors
175,AMCX,AMC Networks Inc.,$1.22B,,Consumer Services,Television Services
176,AMCI,AMCI Acquisition Corp.,$283.37M,2018.0,Finance,Business Services
177,AMCIU,AMCI Acquisition Corp.,,2018.0,Finance,Business Services
178,AMCIW,AMCI Acquisition Corp.,,2018.0,Finance,Business Services
179,DOX,Amdocs Limited,$7.71B,,Technology,EDP Services
180,AMED,Amedisys Inc,$6.63B,,Health Care,Medical/Nursing Services
181,AMTB,Amerant Bancorp Inc.,$517.79M,,Finance,Major Banks
182,AMTBB,Amerant Bancorp Inc.,$400.57M,,Finance,Major Banks
183,UHAL,Amerco,$5.72B,,Consumer Services,Rental/Leasing Companies
184,AMRH,"Ameri Holdings, Inc.",$8.98M,,Technology,Semiconductors
185,AMRHW,"Ameri Holdings, Inc.",,,Technology,Semiconductors
186,ATAX,"America First Multifamily Investors, L.P.",$221.6M,,Finance,Finance: Consumer Services
187,AMOV,"America Movil, S.A.B. de C.V.",$52.4B,,Public Utilities,Telecommunications Equipment
188,AAL,"American Airlines Group, Inc.",$5.68B,,Transportation,Air Freight/Delivery Services
189,AFIN,"American Finance Trust, Inc.",$787.91M,,Consumer Services,Real Estate Investment Trusts
190,AFINP,"American Finance Trust, Inc.",,,Consumer Services,Real Estate Investment Trusts
191,AMNB,"American National Bankshares, Inc.",$235.7M,,Finance,Major Banks
192,ANAT,"American National Group, Inc.",$1.81B,,Finance,Life Insurance
193,APEI,"American Public Education, Inc.",$432.94M,2007.0,Consumer Services,Other Consumer Services
194,AREC,American Resources Corporation,$34.89M,,Consumer Services,Other Consumer Services
195,AMRB,American River Bankshares,$59.54M,,Finance,Major Banks
196,AMSWA,"American Software, Inc.",$511.5M,,Technology,Computer Software: Prepackaged Software
197,AMSC,American Superconductor Corporation,$196.89M,1991.0,Consumer Durables,Metal Fabrications
198,AVCT,"American Virtual Cloud Technologies, Inc. ",$61.85M,2017.0,Finance,Business Services
199,AVCTW,"American Virtual Cloud Technologies, Inc. ",,2017.0,Finance,Business Services
200,AMWD,American Woodmark Corporation,$1.25B,1986.0,Basic Industries,Forest Products
201,CRMT,"America&#39;s Car-Mart, Inc.",$557.16M,,Consumer Durables,Automotive Aftermarket
202,ABCB,Ameris Bancorp,$1.41B,1994.0,Finance,Major Banks
203,AMSF,"AMERISAFE, Inc.",$1.15B,2005.0,Finance,Property-Casualty Insurers
204,ASRV,AmeriServ Financial Inc.,$49.94M,,Finance,Major Banks
205,ASRVP,AmeriServ Financial Inc.,,,Finance,Major Banks
206,ATLO,Ames National Corporation,$164.48M,,Finance,Major Banks
207,AMGN,Amgen Inc.,$148.04B,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
208,FOLD,"Amicus Therapeutics, Inc.",$4.08B,2007.0,Health Care,Major Pharmaceuticals
209,AMKR,"Amkor Technology, Inc.",$3B,1998.0,Technology,Semiconductors
210,AMPH,"Amphastar Pharmaceuticals, Inc.",$961.85M,2014.0,Health Care,Major Pharmaceuticals
211,IBUY,Amplify Online Retail ETF,,,,
212,AMHC,Amplitude Healthcare Acquisition Corporation,$128.13M,2020.0,Finance,Business Services
213,AMHCU,Amplitude Healthcare Acquisition Corporation,,2019.0,Finance,Business Services
214,AMHCW,Amplitude Healthcare Acquisition Corporation,,2020.0,Finance,Business Services
215,AMYT,Amryt Pharma plc,$339.9M,,,
216,ASYS,"Amtech Systems, Inc.",$69.11M,,Technology,Industrial Machinery/Components
217,AMRS,"Amyris, Inc.",$892.14M,2010.0,Basic Industries,Major Chemicals
218,ADI,"Analog Devices, Inc.",$45.78B,,Technology,Semiconductors
219,ANAB,"AnaptysBio, Inc.",$614.55M,2017.0,Health Care,Major Pharmaceuticals
220,AVXL,Anavex Life Sciences Corp.,$287.19M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
221,ANCN,Anchiano Therapeutics Ltd.,$11.13M,2019.0,Health Care,Major Pharmaceuticals
222,ANDA,Andina Acquisition Corp. III,$145.76M,2019.0,Finance,Business Services
223,ANDAR,Andina Acquisition Corp. III,,2019.0,Finance,Business Services
224,ANDAU,Andina Acquisition Corp. III,,2019.0,Finance,Business Services
225,ANDAW,Andina Acquisition Corp. III,,2019.0,Finance,Business Services
226,ANGI,ANGI Homeservices Inc.,$7.86B,,Consumer Services,Advertising
227,ANGO,"AngioDynamics, Inc.",$366.02M,2004.0,Health Care,Medical/Dental Instruments
228,ANIP,"ANI Pharmaceuticals, Inc.",$325.55M,,Health Care,Major Pharmaceuticals
229,ANIK,Anika Therapeutics Inc.,$493.81M,,Health Care,Medical/Dental Instruments
230,ANIX,"Anixa Biosciences, Inc.",$68.68M,,Health Care,Major Pharmaceuticals
231,ANPC,"AnPac Bio-Medical Science Co., Ltd.",$64.52M,2020.0,Health Care,Medical Specialities
232,ANSS,"ANSYS, Inc.",$26.08B,1996.0,Technology,Computer Software: Prepackaged Software
233,ATRS,"Antares Pharma, Inc.",$427.15M,,Health Care,Medical/Dental Instruments
234,ATEX,Anterix Inc.,$719.07M,2015.0,Public Utilities,Telecommunications Equipment
235,APA,Apache Corporation,$4.56B,,Energy,Oil & Gas Production
236,APLS,"Apellis Pharmaceuticals, Inc.",$2.4B,2017.0,Health Care,Major Pharmaceuticals
237,APEX,Apex Global Brands Inc.,$3.77M,,Consumer Non-Durables,Apparel
238,APXT,Apex Technology Acquisition Corporation,$463.42M,2019.0,Finance,Business Services
239,APXTU,Apex Technology Acquisition Corporation,,2019.0,Finance,Business Services
240,APXTW,Apex Technology Acquisition Corporation,,2019.0,Finance,Business Services
241,APHA,Aphria Inc.,$1.12B,,Consumer Durables,Specialty Chemicals
242,APOG,"Apogee Enterprises, Inc.",$560.62M,,Capital Goods,Auto Parts:O.E.M.
243,APEN,"Apollo Endosurgery, Inc.",$31.79M,,Health Care,Medical/Dental Instruments
244,AINV,Apollo Investment Corporation,$589.29M,2004.0,,
245,AMEH,"Apollo Medical Holdings, Inc.",$558.59M,,Consumer Services,Professional Services
246,APPF,"AppFolio, Inc.",$5.52B,2015.0,Technology,Computer Software: Prepackaged Software
247,APPN,Appian Corporation,$3.43B,2017.0,Technology,Computer Software: Prepackaged Software
248,AAPL,Apple Inc.,$1658.88B,1980.0,Technology,Computer Manufacturing
249,APDN,"Applied DNA Sciences, Inc.",$38.06M,,Consumer Services,Other Consumer Services
250,AGTC,Applied Genetic Technologies Corporation,$157.43M,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
251,AMAT,"Applied Materials, Inc.",$58.19B,1972.0,Technology,Semiconductors
252,AMTI,Applied Molecular Transport Inc.,$752.86M,2020.0,Health Care,Major Pharmaceuticals
253,AAOI,"Applied Optoelectronics, Inc.",$244.07M,2013.0,Technology,Semiconductors
254,APLT,"Applied Therapeutics, Inc.",$690.8M,2019.0,Health Care,Major Pharmaceuticals
255,APRE,"Aprea Therapeutics, Inc.",$648.7M,2019.0,Health Care,Major Pharmaceuticals
256,APVO,Aptevo Therapeutics Inc.,$27.19M,,Health Care,Major Pharmaceuticals
257,APTX,Aptinyx Inc.,$213.21M,2018.0,Health Care,Major Pharmaceuticals
258,APM,Aptorum Group Limited,$104.53M,2018.0,Health Care,Major Pharmaceuticals
259,APTO,"Aptose Biosciences, Inc.",$481.29M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
260,APYX,Apyx Medical Corporation,$157.59M,,Health Care,Medical/Dental Instruments
261,AQMS,"Aqua Metals, Inc.",$67.51M,2015.0,Basic Industries,Metal Fabrications
262,AQB,"AquaBounty Technologies, Inc.",$111.34M,,,
263,AQST,"Aquestive Therapeutics, Inc.",$152.47M,2018.0,Health Care,Major Pharmaceuticals
264,ARAV,"Aravive, Inc.",$181.24M,2014.0,Health Care,Major Pharmaceuticals
265,ABUS,Arbutus Biopharma Corporation,$128.27M,,Health Care,Major Pharmaceuticals
266,ABIO,"ARCA biopharma, Inc.",$15.28M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
267,RKDA,"Arcadia Biosciences, Inc.",$37.37M,2015.0,Consumer Non-Durables,Farming/Seeds/Milling
268,ARCB,ArcBest Corporation,$674M,,Transportation,Trucking Freight/Courier Services
269,ACGL,Arch Capital Group Ltd.,$10.97B,,Finance,Property-Casualty Insurers
270,ACGLO,Arch Capital Group Ltd.,,,Finance,Property-Casualty Insurers
271,ACGLP,Arch Capital Group Ltd.,,,Finance,Property-Casualty Insurers
272,FUV,"Arcimoto, Inc.",$205.05M,2017.0,Consumer Non-Durables,Motor Vehicles
273,ARCE,Arco Platform Limited,$2.52B,2018.0,Consumer Services,Other Consumer Services
274,ARCT,Arcturus Therapeutics Holdings Inc.,$996.33M,2013.0,Health Care,Major Pharmaceuticals
275,ARQT,"Arcutis Biotherapeutics, Inc.",$1.11B,2020.0,Health Care,Major Pharmaceuticals
276,ARDX,"Ardelyx, Inc.",$588.22M,2014.0,Health Care,Major Pharmaceuticals
277,ARNA,"Arena Pharmaceuticals, Inc.",$3.73B,2000.0,Health Care,Major Pharmaceuticals
278,ARCC,Ares Capital Corporation,$5.83B,2004.0,,
279,ARGX,argenx SE,$11.9B,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
280,ARDS,Aridis Pharmaceuticals Inc.,$57.18M,2018.0,Health Care,Major Pharmaceuticals
281,ARKR,Ark Restaurants Corp.,$35.2M,,Consumer Services,Restaurants
282,DWCR,Arrow DWA Country Rotation ETF,,,,
283,DWAT,Arrow DWA Tactical ETF,,,,
284,AROW,Arrow Financial Corporation,$402.16M,,Finance,Major Banks
285,ARWR,"Arrowhead Pharmaceuticals, Inc.",$4.6B,,Health Care,Major Pharmaceuticals
286,ARTL,"Artelo Biosciences, Inc.",$4.15M,,Miscellaneous,Business Services
287,ARTLW,"Artelo Biosciences, Inc.",,,Miscellaneous,Business Services
288,ARTNA,Artesian Resources Corporation,$320.56M,,Public Utilities,Water Supply
289,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",$9.65M,,Capital Goods,Industrial Machinery/Components
290,ARVN,"Arvinas, Inc.",$1.34B,2018.0,Health Care,Major Pharmaceuticals
291,ARYBU,ARYA Sciences Acquisition Corp II,,2020.0,Finance,Business Services
292,ASNA,"Ascena Retail Group, Inc.",$9.39M,,Consumer Services,Clothing/Shoe/Accessory Stores
293,ASND,Ascendis Pharma A/S,$6.76B,2015.0,Health Care,Major Pharmaceuticals
294,APWC,Asia Pacific Wire & Cable Corporation Limited,$15.45M,,Basic Industries,Telecommunications Equipment
295,ASLN,ASLAN Pharmaceuticals Limited,$73.32M,2018.0,Health Care,Major Pharmaceuticals
296,ASML,ASML Holding N.V.,$167.94B,1995.0,Technology,Industrial Machinery/Components
297,ASPU,Aspen Group Inc.,$199.18M,,Consumer Services,Other Consumer Services
298,AZPN,"Aspen Technology, Inc.",$7.05B,1994.0,Technology,EDP Services
299,AWH,Aspira Women&#39;s Health Inc.,$367.53M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
300,ASMB,"Assembly Biosciences, Inc.",$773.23M,,Health Care,Major Pharmaceuticals
301,ASRT,"Assertio Holdings, Inc.",$86.43M,,Health Care,Major Pharmaceuticals
302,ASFI,"Asta Funding, Inc.",$84.99M,1995.0,Finance,Finance Companies
303,ASTE,"Astec Industries, Inc.",$968.03M,1986.0,Capital Goods,Construction/Ag Equipment/Trucks
304,ATRO,Astronics Corporation,$272.19M,,Capital Goods,Military/Government/Technical
305,ALOT,"AstroNova, Inc.",$50.14M,1983.0,Technology,Computer peripheral equipment
306,ASTC,Astrotech Corporation,$20.38M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
