,Unnamed: 0,symbol,name,lastsale,marketcap,ipoyear,sector,industry,current_price,current_price_to_book_date,current_price_to_book,price_to_book_q1,price_to_book_q2,price_to_book_q3,price_to_book_q4
59,59,AEY,"ADDvantage Technologies Group, Inc.",2.41,$25.24M,,Consumer Services,Office Equipment/Supplies/Services,2.36,2020-07-10,2.08,0.83,0.87,0.67,0.51
60,60,ADIL,"Adial Pharmaceuticals, Inc",1.425,$19.17M,2018.0,Health Care,Major Pharmaceuticals,1.40,2020-05-05,1.99,1.94,2.86,1.55,1.47
61,61,ADILW,"Adial Pharmaceuticals, Inc",0.34,,2018.0,Health Care,Major Pharmaceuticals,,,,,,,
62,62,ADTX,"ADiTx Therapeutics, Inc.",3.8,$19.66M,2020.0,Health Care,Major Pharmaceuticals,4.01,,,,,,
63,63,ADMA,ADMA Biologics Inc,2.96,$255.58M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2.90,2020-05-01,9.92,9.49,6.57,5.63,22.87
64,64,ADBE,Adobe Inc.,431.74,$207.09B,1986.0,Technology,Computer Software: Prepackaged Software,430.31,,,,,,
65,65,ADTN,"ADTRAN, Inc.",12.82,$614.82M,1994.0,Public Utilities,Telecommunications Equipment,12.60,2020-07-23,1.69,0.97,1.20,1.22,1.64
66,66,ADRO,"Aduro Biotech, Inc.",2.775,$224.45M,2015.0,Health Care,Major Pharmaceuticals,2.76,2020-07-14,3.68,3.38,1.16,0.84,1.07
67,67,ADES,"Advanced Emissions Solutions, Inc.",4.6,$85.07M,,Basic Industries,Major Chemicals,4.50,,,,,,
68,68,AEIS,"Advanced Energy Industries, Inc.",71.82,$2.75B,1995.0,Capital Goods,Industrial Machinery/Components,68.63,2020-05-01,3.02,2.74,4.14,3.36,3.47
69,69,AMD,"Advanced Micro Devices, Inc.",59.57,$69.77B,,Technology,Semiconductors,69.40,,,,,,
70,70,ADXS,"Advaxis, Inc.",0.6003,$36.98M,,Health Care,Major Pharmaceuticals,0.59,,,,,,
71,71,ADVM,"Adverum Biotechnologies, Inc.",17.27,$1.39B,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),17.21,2020-07-09,5.58,4.46,4.72,1.98,4.07
72,72,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,21.6,,,,,,,,,,,
73,73,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,29.3236,,,,,,,,,,,
74,74,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,28.8416,,,,,,,,,,,
75,75,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21.815,,,,,,,,,,,
76,76,DWSH,AdvisorShares Dorsey Wright Short ETF,18.68,,,,,,,,,,,
77,77,ACT,AdvisorShares Vice ETF,24.1585,,,,,,,,,,,
78,78,AEGN,Aegion Corp,16.37,$502.29M,,Basic Industries,Water Supply,16.04,2020-05-05,1.07,1.29,1.59,1.54,1.27
79,79,AGLE,"Aeglea BioTherapeutics, Inc.",7.49,$334.05M,2016.0,Health Care,Major Pharmaceuticals,7.24,2020-07-09,9.36,2.26,2.78,2.23,1.70
80,80,AEHR,Aehr Test Systems,2.19,$50.4M,1997.0,Capital Goods,Electrical Products,2.20,2020-07-10,2.71,3.02,2.83,1.97,2.63
81,81,AMTX,"Aemetis, Inc",0.8202,$16.96M,,Basic Industries,Major Chemicals,0.83,,,,,,
82,82,AERI,"Aerie Pharmaceuticals, Inc.",12.61,$585.96M,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),12.18,2020-07-14,4.80,3.76,5.37,5.68,7.07
83,83,AVAV,"AeroVironment, Inc.",77.61,$1.87B,2007.0,Capital Goods,Aerospace,75.29,,,,,,
84,84,ARPO,"Aerpio Pharmaceuticals, Inc.",1.48,$60.07M,,Health Care,Major Pharmaceuticals,1.48,2020-07-23,1.82,0.61,0.61,0.60,0.73
85,85,AIH,Aesthetic Medical International Holdings Group Ltd.,5.05,$119.25M,2019.0,Health Care,Medical Specialities,4.72,,,,,,
86,86,AEZS,AEterna Zentaris Inc.,0.49,$20.15M,,Health Care,Major Pharmaceuticals,0.47,,,,,,
87,87,AEMD,"Aethlon Medical, Inc.",2.09,$25.19M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,2.02,2020-07-23,2.68,3.62,30.86,4.03,2.12
88,88,AFMD,Affimed N.V.,4.11,$313.39M,2014.0,Health Care,Major Pharmaceuticals,3.94,2020-07-20,9.40,4.91,8.39,5.11,3.70
89,89,AFYA,Afya Limited,26.26,$2.44B,2019.0,Consumer Services,Other Consumer Services,25.30,2020-07-13,4.44,,,,
90,90,AGBA,AGBA Acquisition Limited,10.45,$62.44M,2019.0,Finance,Business Services,10.30,,,,,,
91,91,AGBAR,AGBA Acquisition Limited,0.3,,2019.0,Finance,Business Services,,,,,,,
92,92,AGBAU,AGBA Acquisition Limited,10.9,,2019.0,Finance,Business Services,10.70,,,,,,
93,93,AGBAW,AGBA Acquisition Limited,0.44,,2019.0,Finance,Business Services,,,,,,,
94,94,AGEN,Agenus Inc.,3.4,$577.24M,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.24,,,,,,
95,95,AGRX,"Agile Therapeutics, Inc.",2.52,$219.78M,2014.0,Health Care,Major Pharmaceuticals,2.45,,,,,,
96,96,AGYS,"Agilysys, Inc.",18.25,$427.06M,,Technology,EDP Services,17.74,2020-06-04,7.18,4.07,6.11,6.06,5.05
97,97,AGIO,"Agios Pharmaceuticals, Inc.",52.18,$3.59B,2013.0,Health Care,Major Pharmaceuticals,50.80,2020-06-03,5.62,3.81,7.29,3.58,4.72
98,98,AGMH,AGM Group Holdings Inc.,18.22,$526.4M,2018.0,Technology,EDP Services,17.93,2020-07-16,38.66,,,,
99,99,AGNC,AGNC Investment Corp.,13.49,$7.55B,2008.0,Consumer Services,Real Estate Investment Trusts,13.52,2020-07-23,0.91,0.59,1.01,0.90,0.94
100,100,AGNCM,AGNC Investment Corp.,22.36,,,Consumer Services,Real Estate Investment Trusts,22.30,,,,,,
101,101,AGNCN,AGNC Investment Corp.,23.28,,,Consumer Services,Real Estate Investment Trusts,23.30,,,,,,
102,102,AGNCO,AGNC Investment Corp.,22.63,,,Consumer Services,Real Estate Investment Trusts,22.51,,,,,,
103,103,AGNCP,AGNC Investment Corp.,21.94,,,Consumer Services,Real Estate Investment Trusts,21.81,,,,,,
104,104,API,"Agora, Inc.",46.09,$4.57B,2020.0,Technology,Computer Software: Prepackaged Software,43.08,,,,,,
105,105,AGFS,"AgroFresh Solutions, Inc.",2.39,$124.41M,2014.0,Finance,Business Services,2.30,2020-07-14,0.39,0.26,0.40,0.40,0.22
106,106,AGFSW,"AgroFresh Solutions, Inc.",0.0177,,2014.0,Finance,Business Services,,,,,,,
107,107,AIKI,AIkido Pharma Inc.,1.22,$42.6M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,1.21,2020-07-16,1.56,1.00,0.74,0.39,0.53
108,108,ALRN,"Aileron Therapeutics, Inc.",0.952,$37.36M,2017.0,Health Care,Major Pharmaceuticals,0.97,2020-07-10,4.30,0.58,0.70,0.62,1.50
109,109,AIMT,"Aimmune Therapeutics, Inc.",14.81,$966.36M,2015.0,Health Care,Major Pharmaceuticals,14.52,2020-07-08,4.60,9.04,13.98,6.45,5.09
110,110,AIRT,"Air T, Inc.",11.27,$32.48M,,Transportation,Air Freight/Delivery Services,11.05,2020-07-23,1.35,1.61,2.23,2.85,2.16
111,111,AIRTP,"Air T, Inc.",21.45,,,Transportation,Air Freight/Delivery Services,21.45,,,,,,
112,112,AIRTW,"Air T, Inc.",0.05,,,Transportation,Air Freight/Delivery Services,,,,,,,
113,113,ATSG,"Air Transport Services Group, Inc",24.11,$1.44B,,Transportation,Air Freight/Delivery Services,24.00,,,,,,
114,114,AIRG,"Airgain, Inc.",13.16,$127.61M,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment,13.15,,,,,,
115,115,ANTE,AirNet Technology Inc.,0.8464,$10.64M,,Technology,Advertising,0.86,2020-05-01,0.20,,,,
116,116,AKAM,"Akamai Technologies, Inc.",112.69,$18.29B,1999.0,Miscellaneous,Business Services,111.74,,,,,,
117,117,AKTX,Akari Therapeutics Plc,2.0,$66.92M,,Health Care,Major Pharmaceuticals,1.95,2020-07-23,36.86,,,,
118,118,AKCA,"Akcea Therapeutics, Inc.",12.79,$1.3B,2017.0,Health Care,Major Pharmaceuticals,12.03,2020-06-02,3.01,2.67,5.26,3.92,5.60
119,119,AKBA,"Akebia Therapeutics, Inc.",11.98,$1.71B,2014.0,Health Care,Major Pharmaceuticals,11.76,2020-05-06,3.84,2.50,1.64,0.90,1.02
120,120,KERN,Akerna Corp.,6.22,$82.47M,2018.0,Technology,EDP Services,6.39,,,,,,
121,121,KERNW,Akerna Corp.,0.5601,,2018.0,Technology,EDP Services,,,,,,,
122,122,AKRO,"Akero Therapeutics, Inc.",35.82,$1.24B,2019.0,Health Care,Major Pharmaceuticals,35.80,2020-07-21,10.68,4.72,4.42,4.10,7.85
123,123,AKER,Akers Biosciences Inc.,5.33,$32.63M,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,4.94,2020-05-07,1.81,0.67,1.55,1.28,1.13
124,124,AKUS,"Akouos, Inc.",20.04,$650.93M,2020.0,Health Care,Major Pharmaceuticals,19.30,,,,,,
125,125,AKTS,"Akoustis Technologies, Inc.",8.09,$295.03M,,Public Utilities,Telecommunications Equipment,7.95,2020-07-14,7.42,4.42,15.07,9.10,6.50
126,126,ALRM,"Alarm.com Holdings, Inc.",71.61,$3.49B,2015.0,Technology,Computer Software: Prepackaged Software,67.80,2020-07-13,9.01,5.32,6.23,7.25,8.87
127,127,ALSK,"Alaska Communications Systems Group, Inc.",2.34,$125.33M,1999.0,Public Utilities,Telecommunications Equipment,2.33,2020-04-20,0.60,0.54,0.56,0.54,0.54
128,128,ALAC,Alberton Acquisition Corporation,10.73,$157.62M,2018.0,Finance,Business Services,10.77,2020-07-22,1.39,,,,
129,129,ALACR,Alberton Acquisition Corporation,0.2071,,2018.0,Finance,Business Services,,,,,,,
130,130,ALACU,Alberton Acquisition Corporation,10.6863,,2018.0,Finance,Business Services,10.80,,,,,,
131,131,ALACW,Alberton Acquisition Corporation,0.1501,,2018.0,Finance,Business Services,0.18,,,,,,
132,132,ALBO,"Albireo Pharma, Inc.",26.26,$393.36M,,Health Care,Major Pharmaceuticals,25.25,2020-07-14,3.24,2.63,3.19,2.16,3.67
133,133,ALDX,"Aldeyra Therapeutics, Inc.",6.33,$217.57M,2014.0,Health Care,Major Pharmaceuticals,6.98,2020-07-23,5.00,1.52,3.27,2.13,2.06
134,134,ALEC,"Alector, Inc.",22.29,$1.76B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),22.18,2020-06-04,6.12,9.79,5.44,4.04,4.91
135,135,ALRS,Alerus Financial Corporation,19.69,$336.81M,2019.0,Finance,Major Banks,19.79,2020-07-17,1.13,0.99,1.38,1.74,1.28
136,136,ALXN,"Alexion Pharmaceuticals, Inc.",104.79,$23.14B,1996.0,Health Care,Major Pharmaceuticals,101.49,2020-07-21,2.01,1.76,2.31,2.13,3.03
137,137,ALCO,"Alico, Inc.",31.45,$235.44M,,Consumer Non-Durables,Farming/Seeds/Milling,31.15,2020-07-13,1.21,1.19,1.38,1.43,1.40
138,138,ALIT,Alight Inc.,,,,,,,,,,,,
139,139,ALGN,"Align Technology, Inc.",299.05,$23.55B,2001.0,Health Care,Industrial Specialties,298.14,,,,,,
140,140,ALIM,"Alimera Sciences, Inc.",5.97,$30.04M,2010.0,Health Care,Major Pharmaceuticals,6.26,,,,,,
141,141,ALYA,Alithya Group inc.,1.52,$88.28M,,Technology,"Computer Software: Programming, Data Processing",1.54,,,,,,
142,142,ALJJ,"ALJ Regional Holdings, Inc.",0.6615,$27.9M,,Miscellaneous,Business Services,0.66,2020-06-04,1.54,0.32,0.58,0.69,0.64
143,143,ALKS,Alkermes plc,19.65,$3.12B,1991.0,Health Care,Major Pharmaceuticals,19.79,2020-06-04,2.51,2.11,3.01,2.82,3.21
144,144,ALLK,Allakos Inc.,84.1,$4.1B,2018.0,Health Care,Major Pharmaceuticals,83.53,2020-07-13,6.90,4.38,9.02,25.15,11.15
145,145,ABTX,"Allegiance Bancshares, Inc.",24.19,$493.55M,2015.0,Finance,Major Banks,23.98,2020-05-27,0.81,0.69,1.09,0.94,1.00
146,146,ALGT,Allegiant Travel Company,113.76,$1.85B,2006.0,Transportation,Air Freight/Delivery Services,113.58,2020-07-20,2.21,1.50,3.43,3.01,3.17
147,147,ALNA,"Allena Pharmaceuticals, Inc.",1.67,$53.77M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1.65,2020-06-02,6.29,1.38,2.68,2.45,2.47
148,148,ARLP,"Alliance Resource Partners, L.P.",3.24,$412.11M,1999.0,Energy,Coal Mining,3.39,2020-07-21,0.39,0.31,1.03,1.50,1.58
149,149,LNT,Alliant Energy Corporation,53.25,$13.29B,,Public Utilities,Power Generation,53.12,,,,,,
150,150,AESE,"Allied Esports Entertainment, Inc.",2.05,$58.15M,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,2.29,2020-07-14,1.43,0.85,1.21,0.86,1.29
151,151,AHPI,"Allied Healthcare Products, Inc.",11.2,$44.95M,1992.0,Health Care,Industrial Specialties,11.10,,,,,,
152,152,AMOT,"Allied Motion Technologies, Inc.",36.71,$357.36M,,Capital Goods,Electrical Products,36.16,2020-05-27,3.11,1.93,4.09,3.05,3.41
153,153,ALLO,"Allogene Therapeutics, Inc.",39.45,$5.48B,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),38.57,2020-06-04,8.89,3.87,5.21,5.07,4.79
154,154,ALLT,Allot Ltd.,11.75,$407.73M,2006.0,Technology,Computer Communications Equipment,11.67,2020-07-20,3.10,2.49,2.20,2.06,1.82
155,155,MDRX,"Allscripts Healthcare Solutions, Inc.",7.11,$1.16B,,Technology,EDP Services,7.03,2020-06-15,0.87,0.89,1.24,1.36,1.33
156,156,ALNY,"Alnylam Pharmaceuticals, Inc.",154.61,$17.75B,2004.0,Health Care,Major Pharmaceuticals,153.10,,,,,,
157,157,AOSL,Alpha and Omega Semiconductor Limited,10.7,$268.33M,2010.0,Technology,Semiconductors,10.51,,,,,,
158,158,GOOG,Alphabet Inc.,1515.68,$1034.63B,2004.0,Technology,"Computer Software: Programming, Data Processing","1,511.87",2020-05-20,4.72,3.95,4.72,4.38,4.09
159,159,GOOGL,Alphabet Inc.,1516.75,$1035.36B,,Technology,"Computer Software: Programming, Data Processing","1,508.21",2020-07-14,5.10,3.95,4.73,4.39,4.10
160,160,SMCP,AlphaMark Actively Managed Small Cap ETF,21.0461,,,,,,,,,,,
161,161,ATEC,"Alphatec Holdings, Inc.",5.05,$323.45M,2006.0,Health Care,Medical/Dental Instruments,5.10,2020-07-14,11.35,5.00,7.56,21.51,23.25
162,162,ALPN,"Alpine Immune Sciences, Inc.",10.08,$187.37M,2015.0,Health Care,Major Pharmaceuticals,10.10,2020-05-01,1.77,1.82,2.05,1.62,1.38
163,163,ALTA,Altabancorp,20.5,$385.15M,2015.0,Finance,Major Banks,20.55,2020-07-17,1.17,1.09,1.76,1.71,1.84
164,164,ALTR,Altair Engineering Inc.,38.95,$2.84B,2017.0,Technology,Computer Software: Prepackaged Software,38.19,2020-05-07,6.66,5.41,7.52,6.86,9.51
165,165,ATHE,Alterity Therapeutics Limited,1.45,$26.22M,,Health Care,Major Pharmaceuticals,1.45,,,,,,
166,166,ALT,"Altimmune, Inc.",27.65,$884.87M,,Health Care,Major Pharmaceuticals,25.63,2020-05-05,1.06,1.08,0.59,0.53,0.54
167,167,ASPS,Altisource Portfolio Solutions S.A.,13.56,$211.14M,,Consumer Services,Other Consumer Services,13.39,,,,,,
168,168,AIMC,Altra Industrial Motion Corp.,34.12,$2.21B,2006.0,Capital Goods,Industrial Machinery/Components,34.55,2020-07-23,1.26,0.59,1.25,0.95,1.23
169,169,ALTM,Altus Midstream Company,13.68,$222.25M,2017.0,Public Utilities,Natural Gas Distribution,13.10,2020-07-22,3.04,,,,
170,170,ALXO,ALX Oncology Holdings Inc.,29.7,$1.05B,2020.0,Health Care,Major Pharmaceuticals,30.25,,,,,,
171,171,AMAG,"AMAG Pharmaceuticals, Inc.",10.075,$345.3M,,Health Care,Major Pharmaceuticals,10.00,2020-06-05,1.16,0.74,0.86,0.78,0.55
172,172,AMAL,Amalgamated Bank,11.32,$350.92M,2018.0,Consumer Non-Durables,Textiles,11.17,,,,,,
173,173,AMRN,Amarin Corporation plc,6.58,$2.54B,,Health Care,Major Pharmaceuticals,6.52,2020-05-14,5.22,2.47,13.45,42.60,53.97
174,174,AMRK,"A-Mark Precious Metals, Inc.",23.58,$165.8M,,Basic Industries,Other Specialty Stores,23.11,2020-04-13,1.32,1.21,0.83,1.22,1.31
175,175,AMZN,"Amazon.com, Inc.",2986.55,$1489.62B,1997.0,Consumer Services,Catalog/Specialty Distribution,"3,008.91",2020-07-23,22.82,15.68,16.28,16.19,19.32
176,176,AMBC,"Ambac Financial Group, Inc.",13.45,$615.73M,,Finance,Property-Casualty Insurers,13.46,2020-07-17,0.62,0.38,0.63,0.60,0.47
177,177,AMBA,"Ambarella, Inc.",45.26,$1.55B,2012.0,Technology,Semiconductors,44.58,2020-07-23,3.41,4.49,4.12,3.91,3.91
178,178,AMCX,AMC Networks Inc.,24.9,$1.3B,,Consumer Services,Television Services,24.87,2020-04-01,1.87,1.93,3.49,5.04,6.67
179,179,AMCI,AMCI Acquisition Corp.,10.35,$285.3M,2018.0,Finance,Business Services,10.30,2020-05-14,1.29,,,,
180,180,AMCIU,AMCI Acquisition Corp.,10.8,,2018.0,Finance,Business Services,10.80,,,,,,
181,181,AMCIW,AMCI Acquisition Corp.,0.4199,,2018.0,Finance,Business Services,,,,,,,
182,182,DOX,Amdocs Limited,60.61,$8.09B,,Technology,EDP Services,60.52,2020-06-10,2.45,2.07,2.78,2.56,2.45
183,183,AMED,Amedisys Inc,215.47,$6.98B,,Health Care,Medical/Nursing Services,214.74,2020-07-22,10.25,9.28,8.94,7.52,7.50
184,184,AMTB,Amerant Bancorp Inc.,13.6,$573.45M,,Finance,Major Banks,13.08,2020-07-09,0.62,0.78,1.14,1.12,1.09
185,185,AMTBB,Amerant Bancorp Inc.,9.25,$390.03M,,Finance,Major Banks,9.46,2020-07-09,0.48,0.51,0.85,0.83,0.80
186,186,UHAL,Amerco,319.87,$6.27B,,Consumer Services,Rental/Leasing Companies,316.47,2020-07-14,1.41,1.39,1.82,1.98,2.01
187,187,AMRH,"Ameri Holdings, Inc.",1.82,$8.25M,,Technology,Semiconductors,1.81,,,,,,
188,188,AMRHW,"Ameri Holdings, Inc.",0.0585,,,Technology,Semiconductors,,,,,,,
189,189,ATAX,"America First Multifamily Investors, L.P.",3.93,$237.94M,,Finance,Finance: Consumer Services,3.88,2020-04-01,0.86,0.93,1.37,1.55,1.39
